1123356248672485377,this is the corrupt illegitimate maduro regime,"This is the corrupt, illegitimate Maduro Regime. https://t.co/79sFbYrzOp",-0.5,1.0,
1123352190104612864,"what is democrats plan to pay for the 32,000,000,000,000 price tag on medicare for all here what witnesses said in the rules reps hearing today impose tax hikes on americans slash payments to doctors and hospitals read more here","What is Democrats' plan to pay for the $32,000,000,000,000 price tag on #MedicareForAll?

Here's what witnesses said in the @RulesReps hearing today:

☑️Impose tax hikes on Americans
☑️Slash payments to doctors and hospitals

Read more here ⬇️ https://t.co/2JGeYSNmlc",0.5,0.5,MedicareForAll
1123349638663299075,icymi lead republican rep mc caul comments on developing situation in venezuela offers statement of support for jguaido and venezuelan people,ICYMI: Lead Republican @RepMcCaul comments on developing situation in #Venezuela – offers statement of support for @jguaido and Venezuelan people. https://t.co/AaqPdHHP8f,0.1,0.0,Venezuela
1123345228474269696,we will miss senator lugar wisdom and smile dearly but his legacy will endure for generations to come it was an honor to speak about his life accomplishments on the house floor this morning,"We will miss Senator Lugar's wisdom and smile dearly, but his legacy will endure for generations to come. It was an honor to speak about his life's accomplishments on the House floor this morning. https://t.co/xzJmGddyrv",0.3,0.1,
1123327521347506177,the democrats radical ideas keep getting worse their socialist health care scheme forces more than million americans off their current plans and onto government controlled plans it is all lies and broken promises this is round of if you like your plan you can keep it,"The Democrats' radical ideas keep getting worse. Their socialist health care scheme forces more than 150 million Americans off their current plans and onto government controlled plans. It's all lies and broken promises. This is round 2 of ""if you like your plan you can keep it."" https://t.co/BnCbX1D91m",-0.1,0.45999999999999996,
1123325917269508096,socialist democrats on the house rules committee are holding a hearing today on the medicare for all act of aka government run healthcare act make no mistake government run healthcare will result in higher costs and longer wait times for worse care,"Socialist Democrats on the House Rules Committee are holding a hearing today on the Medicare for All Act of 2019 (aka government run healthcare act). Make no mistake, government run healthcare will result in higher costs &amp; longer wait times for worse care. https://t.co/eyYB3rIYzr",-0.07500000000000001,0.55,
1123325171350290432,government run health care increases wait times diminishes the quality of care you receive and strips you of your choice and coverage we should reject this socialist policy,"Government run health care increases wait times, diminishes the quality of care you receive, and strips you of your choice and coverage. 

We should reject this socialist policy. https://t.co/iPg5KjvZC5",0.0,0.0,
1123325135669403648,the democrats one-size-fits-all healthcare plan means middle class workers senior citizens and families will lose their choice in their healthcare providers,"The Democrats’ one-size-fits-all healthcare plan means middle class workers, senior citizens, and families will lose their choice in their healthcare providers. https://t.co/AXN0pMsCBZ",0.0,0.0,
1123309271423361024,on behalf of the million workers who would lose their insurance we would like to have that hearing as well,"On behalf of the 158 million workers who would lose their insurance, we'd like to have that hearing as well. https://t.co/obqaHFeG8Q",0.0,0.0,
1123305769821249536,there are million unfilled jobs in the u.s under medicarefor all employers will lose a competitive edge including the opportunity to choose a healthcare plan,"There are 7 million unfilled jobs in the U.S. Under #MedicareforAll, employers will lose a competitive edge—including the opportunity to choose a #healthcare plan. https://t.co/iBWSh4s2xS",0.0,0.0,MedicareforAll
1123303615182065664,the democrats government-run one-size-fits-all health care plan would cost more than 32 trillion raise taxes for million on medicaid end medicare advantage for million seniors and individuals with disabilities,"The Democrats’ government-run, one-size-fits-all health care plan would:
❌Cost more than $32 trillion
❌Raise taxes for 74 million on Medicaid.
❌End Medicare Advantage for 22 million seniors and individuals with disabilities.
https://t.co/r7SOnt9hMk",0.5,0.5,
1123302860719099905,rep mc govern falsely claims people are not going to lose their health care with medicare-for-all the truth the dems government takeover of health care would force million americans off their private insurance,".@RepMcGovern falsely claims ""people aren't going to lose their health care with Medicare-for-All.""

The truth? The Dems' government takeover of health care would force 158 million Americans off their private insurance → https://t.co/aUtY9Anw0K https://t.co/AtEY59YV6w",-0.20000000000000004,0.4875,
1123299381883617280,hi rep mc govern even though you deleted this tweet we would love to have a hearing on medicare for all please encourage your colleague frank pallone to hold a hearing in a committee with health jurisdiction,"Hi @RepMcGovern 👋

Even though you deleted this tweet, we'd love to have a hearing on #MedicareForAll - please encourage your colleague @FrankPallone to hold a hearing in a committee with health jurisdiction. https://t.co/oKZG6uBaUy",0.5,0.6,MedicareForAll
1123298545031946240,my thoughts on the medicare for all act,"My thoughts on the ""Medicare for All Act."" https://t.co/9x2v6wFAZu",0.0,0.0,
1123292107471454208,democrats are not telling the truth about their government takeover of your health care so i have corrected the definition for you,Democrats are not telling the truth about their government takeover of your health care so I have corrected the definition for you: https://t.co/Ot84pKXS2n,0.0,0.0,
1123291884540039168,today medicare for all hearing confirms what we have long known democrats ultimate goal has been to force every single american into a one-size-fits-all government insurance system,Today’s #MedicareForAll hearing confirms what we have long known: Democrats' ultimate goal has been to force every single American into a one-size-fits-all government insurance system. https://t.co/pYt6hsZtSC,-0.030357142857142857,0.4035714285714285,MedicareForAll
1123279511372664833,medicare for all takes away people choice for health care in fact over million americans would lose their employer-sponsored coverage under the democrats medicare for all act here are the numbers for colorado,"Medicare for All takes away people's choice for health care. In fact, over 150 million Americans would lose their employer-sponsored coverage under the Democrats' #MedicareForAll Act. Here are the numbers for Colorado... https://t.co/YTN0z3RaK6",0.0,0.0,
1123266366977474560,"today the house democrats are holding the first ever hearing on medicare for all legislation under their government-controlled healthcare plan ,112,200 people in tennessee would lose their health insurance","Today, the @HouseDemocrats are holding the first ever hearing on #MedicareForAll legislation. Under their government-controlled healthcare plan, 3,112,200 people in Tennessee would lose their health insurance. https://t.co/cKJipmFd3w",0.25,0.3333333333333333,MedicareForAll
1123265590364446720,rules reps ranking member tom cole ok04 on one-size-fits-all medicare for all the majority needs to be honest about the phenomenal cost of this new program,".@RulesReps Ranking Member  @TomColeOK04 on one-size-fits-all #MedicareForAll: ""the majority needs to be honest about the phenomenal cost of this new program."" https://t.co/uD1x62uGl4",0.4121212121212121,0.6181818181818182,MedicareForAll
1123262100766429184,million americans get their health insurance from their employer if democrats succeed with their radical medicarefor all agenda workers will lose their right to choose their plan,"158 million Americans get their health insurance from their employer. If Democrats succeed with their radical #MedicareforAll agenda, workers will lose their right to choose their plan. https://t.co/TyASQKCjNJ",0.2857142857142857,0.5357142857142857,
1123260249929068544,"if democrats government-controlled healthcare plan is implemented ,500 idahoans will lose their employer-provided insurance","If democrats' government-controlled healthcare plan is implemented, 785,500 Idahoans will lose their employer-provided insurance. https://t.co/xznmUKV7Ul",0.0,0.0,
1123239724276224001,remember when obama said if you like your plan you can keep your plan americans found out that was a lie the democrats plan would take away private health insurance from millions more americans,"Remember when Obama said “if you like your plan, you can keep your plan?” Americans found out that was a lie.

The Democrats’ plan would take away private health insurance from millions more Americans. https://t.co/yA4FMUOS7p",0.25,0.4375,
1123239666986180608,today house democrats are holding their first hearing on medicare for all this proposal -costs taayers 32 trillion over only years -would kick million americans off their private health insurance -raises taxes decreases choice would lead to increased wait times,"Today, @HouseDemocrats are holding their first hearing on #MedicareForAll. This proposal:
-costs taxpayers $32 trillion over only 10 years
-would kick 150+ million Americans off their private health insurance 
-raises taxes, decreases choice, + would lead to increased wait times",0.08333333333333333,0.5694444444444444,MedicareForAll
1123239224826900482,today hearing is yet another example of democrats embracing socialism and trying to put government in charge of everyone health care just look at how extreme the dems health care agenda has become,Today’s hearing is yet another example of Democrats embracing socialism and trying to put government in charge of everyone’s health care. Just look at how extreme the Dems' health care agenda has become → https://t.co/SSgA0AMkV1,-0.125,1.0,
1123236303045369860,government run health care would be devastating for our rural hospitals we are fighting to eand access to quality care not take it away while also doubling taxes for hardworking americans to pay for it,"Government run health care would be DEVASTATING for our rural hospitals. We're fighting to expand access to quality care, not take it away while also doubling taxes for hardworking Americans to pay for it. https://t.co/jGLbpgwt8J",-0.5,0.5,
1123236280664502272,the house is holding its first ever hearing today on medicare for all which we all know provides medicare-for-none and it looks like this -new taxes costing trillions -losing your private insurance even if you like it -long waits and rationed care from doctors you did not choose,"The House is holding its first ever hearing today on #MedicareForAll, which we all know provides Medicare-for-None, and it looks like this:
-New taxes costing trillions
-Losing your private insurance (even if you like it)
-Long waits &amp; rationed care from doctors you didn't choose",0.08409090909090909,0.390719696969697,MedicareForAll
1123236246321545222,today democrats in the house are holding their first ever hearing on their government takeover of the health care system that would abolish private health insurance coverage for million americans and result in 32 trillion in tax increases,Today Democrats in the House are holding their first ever hearing on their government takeover of the health care system that would abolish private health insurance coverage for 158 million Americans and result in $32 trillion in tax increases. https://t.co/Mkf4tV7NXe,0.125,0.35416666666666663,
1123234474706309120,today house democrats are advancing their 32 trillion one-size-fits-all government takeover of health care that would strip million americans of their private employer-sponsored health insurance,"Today House Democrats are advancing their $32 trillion, one-size-fits-all government takeover of health care that would strip 158 million Americans of their private, employer-sponsored health insurance. https://t.co/UuoSh16SqH",0.0,0.375,
1123233952708341760,let us call medicare for all what it is government-controlled health care it would force million off of their insurance increase health care costs limit health care options,"Let's call #MedicareForAll what it is → government-controlled health care. It would:
🔘 Force 153 million off of their insurance
🔘 Increase health care costs
🔘 Limit health care options
https://t.co/Q0fgysy9Bg",0.0,0.0,MedicareForAll
1123233888103469059,democrats are once again trying to make americans conform to a one-size-fits-all plan that takes away their ability to make health care decisions that best fit their family under dems government-controlled healthcare million americans would lose their current insurance plan,Democrats are once again trying to make Americans conform to a one-size-fits-all plan that takes away their ability to make health care decisions that best fit their family. Under Dems' government-controlled healthcare 158 million Americans would lose their current insurance plan https://t.co/2t7hZrw5H2,0.4666666666666666,0.3666666666666667,
1123233854268104704,hospitals are reimbursed an average of only of every they spend caring for medicare patients medicare for all would inevitably result in hospital closures and decrease patients access to lifesaving health care it is not a solution to democrats broken obamacare system,Hospitals are reimbursed an average of only 87¢ of every $1 they spend caring for Medicare patients. #MedicareForAll would inevitably result in hospital closures &amp; decrease patients' access to lifesaving health care. It is not a solution to Democrats' broken Obamacare system. https://t.co/OYmzx8uwlp,-0.1375,0.7,MedicareForAll
1123232724796551168,house democrats first hearing on medicare for all is now underway what does it mean for michigan higher taxes a government takeover and nearly million people forced off their health care plan,"House Democrats' first hearing on Medicare for All is now underway. What does it mean for Michigan? Higher taxes, a government takeover, and nearly 5 million people forced off their health care plan. https://t.co/rqjwjOzzaz",-0.0025000000000000135,0.4241666666666667,
1123230996915261443,as house democrats hold their first hearing on medicare for all here are a few reminders of what this government takeover of healthcare would cost you,"As House Democrats hold their first hearing on Medicare for All, here are a few reminders of what this government takeover of healthcare would cost you → https://t.co/n9c9NKMz98",0.024999999999999994,0.21666666666666667,
1123230256356319232,democrats radical plan will rip health care from million americans taxes would skyrocket and access to care would slow to a crawl ckeck out the rest of the greatest hits of medicarefor all,"👀 Democrats’ radical plan will rip health care from 158 million Americans. Taxes would skyrocket and access to care would slow to a crawl.

ckeck out the rest of the greatest hits of #MedicareforAll 👇

https://t.co/JqwYN8b7Af https://t.co/4KRFesynJv",0.35,0.7,
1123226280508440581,tune in live with gop leader steve scalise rep liz cheney and michaelcburgess now,"Tune in live with @GOPLeader, @SteveScalise, @RepLizCheney, and @michaelcburgess now ⬇️ https://t.co/VFcLzXPc9Z",0.13636363636363635,0.5,
1123225320507740160,top wand m republicans rep kevin brady and rep devin nunes wrote to chairman neal asking for a hearing on medicare for all read the full letter,"Top W&amp;M Republicans @RepKevinBrady and @RepDevinNunes wrote to Chairman Neal asking for a hearing on ""Medicare for All"".
Read the full letter 👇🏼 https://t.co/y6g1RZEIAX",0.425,0.525,
1123220108707606529,in advance of today hearing learn more about the real costs of one-size-fits-all health care beyond the 32 trillion medicarefor all price tag,"In advance of today's hearing, learn more about the real costs of one-size-fits-all health care beyond the $32 trillion #MedicareforAll price tag: https://t.co/UcHTpt38vs https://t.co/cekXYU0F2o",0.35,0.4,
1123218136919048195,in this iteration you get to keep nothing all private health insurance as we know it is gone everything will be taken over by the federal gov't -michael c burgess on dems wanting to strip million americans of their health insurance in exchange for a one-size-fits-all plan,"“In this iteration, you get to keep nothing. All private health insurance as we know it's gone…Everything will be taken over by the federal gov't.” -@MichaelCBurgess on Dems wanting to strip 158 million Americans of their health insurance in exchange for a one-size-fits-all plan https://t.co/eIQXhZvp5a",0.0,0.375,
1123205996216819712,dangerous side effects of dems gov-controlled health insurance forced off their plan higher taxes for working families lower gdp by gt trillion medicare advantage ended for seniors delays on cutting-edge treatments underpaid doctors piles of debt,"⚠️ Dangerous #SideEffects of Dems’ gov-controlled health insurance:
- 158M forced OFF their plan
- Higher taxes for working families
- Lower GDP ( by &gt; 1.5 Trillion)
- Medicare Advantage ended for seniors
- Delays on cutting-edge treatments
- Underpaid doctors (piles of debt)",-0.21666666666666667,0.5333333333333333,SideEffects
1123013614322028544,we can do better aca stabilized w/ potus but fatally flawed monthly high out-of-pocket costs few choices often can not see local docs/hospitals adds 1.5 trillion to debt should start fresh both parties this time to lower costs,"We can do better. 

ACA stabilized w/ #POTUS, but fatally flawed: 
- ⬆️monthly $$
- high out-of-pocket costs
- few choices
- often can't see local docs/hospitals
- adds $1.5 trillion to debt

Should start fresh, BOTH parties this time, to lower costs.
 
https://t.co/2auJ2lGd73",0.043333333333333335,0.3566666666666667,POTUS
1123013577202458626,so democrat leaders are demanding a tax increase in order to get another tax increase they really just can not help themselves from trying to raise your taxes,So Democrat leaders are demanding a tax increase in order to get another tax increase? They really just can’t help themselves from trying to raise your taxes. https://t.co/V98BqcuR5Z,0.2,0.2,
